,1AO_17,1AO_20,1AO_23,1AO_22,1AC_17,1AC_20,1AC_23,1AC_22,1NO_16,1NO_18,1NO_21,1NO_10,1NC_16,1NC_18,1NC_21,1NC_10,2AO_17,2AO_20,2AO_23,2AO_22,2AC_17,2AC_20,2AC_23,2AC_22,2NO_16,2NO_18,2NO_21,2NO_10,2NC_16,2NC_18,2NC_21,2NC_10,3AO_17,3AO_20,3AO_23,3AO_22,3AC_17,3AC_20,3AC_23,3AC_22,3NO_16,3NO_18,3NO_10,3NC_16,3NC_18,3NC_21,3NC_10,4AO_17,4AO_20,4AO_23,4AO_22,4AC_17,4AC_20,4AC_23,4AC_22,4NO_16,4NO_18,4NO_21,4NO_10,4NC_16,4NC_18,4NC_21,4NC_10,5AO_17,5AO_20,5AO_23,5AO_22,5AC_17,5AC_20,5AC_23,5AC_22,5NO_16,5NO_18,5NO_21,5NO_10,5NC_16,5NC_18,5NC_21,5NC_10,6AO_17,6AO_20,6AO_23,6AO_22,6AC_17,6AC_20,6AC_23,6AC_22,6NO_16,6NO_18,6NO_21,6NO_10,6NC_16,6NC_18,6NC_21,6NC_10
asv26742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006388552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006251042,0,0,0,0,0,0,0,0,0,0.019392999,0,0,0,0,0,0,0,0.012821922,0,0,0
asv29110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038911028,0,0.010743282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014815546,0,0.17086181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv29751,0.057017271,0,0,0,0,0,0.010175787,0,0,0.009254261,0,0.008965715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01128923,0,0,0,0,0,0.005277169,0.013015537,0,0,0,0,0.01238812,0,0,0.004270636,0,0,0,0,0,0,0.003770967,0.006591632,0,0.00924656,0,0,0,0,0.040354771,0.023683003,0,0.033078435,0.012022121,0,0,0,0.019012064,0.004978238,0.013913581,0,0,0,0,0,0.009332912,0,0,0.012939121,0,0,0,0
asv39780,0,0,0,0,0,0,0,0,0,0.021936953,0.014320786,0,0,0.051821804,0,0,0,0,0,0,0.013059119,0,0.007456121,0,0,0.003801645,0,0,0.009689297,0.006457341,0,0.043048941,0.010294316,0,0.03768785,0,0.045238102,0.014267969,0,0,0.007347539,0.014902865,0,0,0.021855146,0,0,0.037982059,0,0.127200284,0,0.009664637,0.021097847,0,0.017442875,0.003736586,0.030266191,0.063224447,0,0.006211731,0.022754925,0,0,0.005279353,0,0.014006672,0.026198585,0.003585103,0.030344409,0,0.028977708,0,0.013309125,0,0,0.009421519,0.005550006,0,0.026475163,0.011721095,0,0.103578882,0.073611778,0.064912675,0.093834662,0,0,0.002153749,0.010727619,0,0,0,0.012078997,0,0
asv50856,0.104014631,0,0,0.071938612,0,0.017417741,0,0,0,0.072357576,0.042962357,0,0,0,0.062096967,0,0.023976024,0,0,0,0,0,0,0,0,0,0.040739155,0,0,0,0,0,0.021613924,0,0,0,0,0,0,0,0.040022107,0.006602964,0,0,0,0,0,0.061256246,0,0.102882583,0,0,0,0,0,0,0.023793545,0.18405339,0,0,0,0,0,0.080336883,0.061500316,0.254666769,0,0,0,0.020383204,0,0.041244115,0.035449121,0.093765628,0.077831611,0,0,0,0,0.156352589,0,0.265903996,0.044807169,0.02531543,0,0,0,0.016659725,0.021840544,0.068827531,0.045286925,0,0,0,0
asv53949,0.063374174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv26660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050133249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04200356,0,0,0,0,0,0,0,0.008274036,0,0,0,0,0,0,0,0,0,0
asv05337,0,0,0,0,0,0,0,0,0.011975857,0,0.034779051,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005900401,0,0,0,0,0,0,0,0.010806962,0.008679651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026188294,0,0,0,0,0,0,0,0,0.039386259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011991024,0,0,0,0,0,0,0,0,0,0,0,0.007179163,0,0,0,0.012553177,0,0,0
asv17341,0,0.013385601,0,0.037301503,0,0,0,0,0.015481793,0.039016252,0,0,0.044202014,0.106324047,0,0,0.011988012,0.008332143,0,0,0,0,0,0,0,0.158618915,0.013579718,0.032204967,0,0.008789509,0,0,0.018972333,0.015706714,0.081657009,0.038916815,0,0,0,0,0.109491187,0.116596345,0.093243945,0.005997978,0,0.013210694,0.165851584,0.006167205,0.101299053,0.390953815,0,0.044661948,0,0.054198024,0.013417596,0.167008239,0.236552788,0.053389533,0.054798274,0,0,0,0,0,0.032822903,0.062393358,0.035445145,0,0,0.015679388,0,0.10114632,0.150602618,0.118769795,0,0.200066497,0.060394935,0,0.036403349,0.049471947,0.058077009,0.142227719,0.16162586,0.0096965,0,0.073956683,0.030739673,0.05456164,0.089893005,0.059223689,0.022643463,0.123128006,0.033770021,0,0
asv18516,0.088117601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
