,1AO_1,1AO_5,1AO_3,1AO_29,1AC_7,1AC_9,1AC_8,1AC_33,1NO_13,1NO_15,1NO_17,1NO_37,1NC_19,1NC_20,1NC_21,1NC_43
asv03585,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012455209,0,0
asv22746,0,0,0,0,0.007086742,0,0,0,0,0,0,0,0.004604306,0,0,0
asv00198,0,0,0,0,0.01613977,0,0,0,0,0,0,0,0,0,0,0
asv02958,0,0,0.010201739,0,0,0,0,0,0,0,0,0,0,0,0,0
asv54451,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007664744,0,0
asv46401,0,0.00736678,0.003825652,0.010744931,0,0.006359705,0.033884981,0.010508065,0,0.012863572,0.012511338,0.016442861,0.005598895,0.017245674,0.022476961,0
asv49512,0,0,0,0,0,0,0,0,0,0,0,0,0.004604306,0.011316769,0,0
asv52786,0.009232823,0,0,0.00613996,0,0,0,0,0,0.00367323,0.006255669,0,0,0,0,0
asv06301,0,0,0,0.042979723,0.020174713,0,0.03524038,0.033275539,0,0.015015981,0,0,0.086107035,0,0,0
asv08026,0,0,0,0,0,0,0,0,0,0,0.039097933,0,0,0,0,0.033359084
asv17548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061811643,0
asv11418,0,0,0,0,0.016161707,0,0,0,0,0,0,0,0,0,0,0
asv08926,0.005806864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv16917,0,0,0,0,0.011136308,0,0,0,0,0,0,0,0,0,0,0
asv49302,0,0,0,0,0,0.021552128,0,0.017513442,0,0,0,0,0,0,0,0
asv52197,0,0,0,0,0,0,0,0.02101613,0,0.022957684,0,0,0,0,0,0
asv00624,0,0,0,0,0,0,0.097588745,0,0,0,0,0,0,0,0,0
asv01023,0,0,0,0.085959446,0,0,0,0,0,0,0,0,0,0,0,0
asv02483,0,0,0,0,0,0,0,0,0,0,0,0,0.701775127,0.01916186,0.126432906,0
asv02658,0,0,0,0,0,0,0,0,0,0,0,0,0.020529282,0.008801931,0.19948303,0
asv05321,0.023227455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv05766,0,0,0,0,0,0,0,0,0,0,0.035970098,0,0,0,0,0.024580378
asv05914,0,0,0,0,0,0,0.010843194,0,0,0,0,0,0,0,0,0
asv06287,0,0,0,0,0,0,0,0,0,0,0.200181414,0,0,0.032575162,0,0
asv06651,0,0,0,0,0.380658943,0.042700876,0.138250722,0.070053766,0,0,0.239279347,0,0.113082345,0,0,0
asv06875,0,0,0,0,0.733515993,0,0,0,0,0,0,0,0,0,0,0
asv13195,0,0,0,0,0.845495964,0,0,0,0,0,0,0,0,0,0,0
asv17108,0,0,0,0,0,0.027341438,0.050149772,0,0,0,0,0,0,0,0.014048101,0
asv18493,0,0,0,0,0.008099133,0,0.046083574,0,0,0,0,0,0,0,0,0
asv18860,0.013791301,0,0,0.027629822,0,0,0,0,0,0,0,0,0,0,0,0
asv22158,0.677921315,0.196810361,0.020403479,0,0,0.141066609,0,0,0.012475599,0.006435421,0.026586594,0,0,0,0.134861767,0
asv26261,0,0,0,0,0,0,0,0,0,0,0,0,0.014733779,0.028502327,0,0
asv27096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042144302,0
asv29173,0,0,0.346859139,0,0,0.006359705,0.058282167,0,0,0,0,0,0,0,0,0
asv34940,0,0,0,0,0,0,0,0,0.210987803,0,0,0,0,0,0,0
asv35690,0,0,0,0,0,0,0,0.119091403,0,0,0,0,0,0,0,0
asv38012,0,0,0.026779566,0.00767495,0.034322604,0.105140925,0.207376083,0,0,0,0.039097933,0,0.025919281,0.057543191,0.238817712,0.01404593
asv39978,0,0,0,0,0,0.023621761,0,0,0,0,0,0,0.066744374,0.039281813,0,0
asv40608,0,0,0,0,0,0,0,0.06304839,0,0,0,0,0,0,0,0
asv40725,0,0,0,0,0,0,0.084034752,0,0.014815702,0,0,0,0,0,0,0
asv42833,0,0,0,0,0.092935297,0.012181638,0,0.035026883,0,0,0.01720309,0,0.011050334,0,0.039334682,0.300231758
asv46332,0.037641511,0,0,0,0,0,0,0.022767474,0,0,0,0,0,0,0,0
asv47828,0,0.030160065,0,0.00613996,0.019195226,0.075155355,0.008132395,0.04203226,0,0,0,0,0.044557689,0.04401091,0,0.012290189
asv52128,0,0,0,0.015349901,0,0,0,0,0,0,0,0,0.005525167,0,0.014048101,0
asv52532,0.021775739,0,0.015302609,0,0.003026207,0.010307539,0.018975589,0.031524195,0,0.011798271,0,0.025577784,0,0.022633538,0,0
asv54074,0,0,0,0.113589267,0,0,0,0,0,0,0,0,0,0,0,0
asv55125,0,0,0,0,0,0.024363275,0,0,0,0,0,0,0,0,0,0
asv55648,0,0,0,0,0,0,0,0,0,0,0,0.016442861,0,0,0,0
asv55715,0.07091511,0,0.161952613,0.138149109,0,0,0.032529582,0,0.034805624,0,0,0,0,0.104785315,0,0
asv01511,0,0,0.056109567,0,0.017148506,0,0,0,0,0,0,0,0,0,0,0.170306904
